Timestamp,Trial,Adj_Local_Sway_X,Adj_Local_Sway_Z,Local_Sway_Radius,Local_Sway_Jerk,Orb_Event,Reaction_Time,Movement_Time
24.442,1,-0.0662,0.0440,0.0795,387.6361,None,0.000,0.000
24.469,1,-0.0662,0.0444,0.0798,47.5768,None,0.000,0.000
24.497,1,-0.0632,0.0461,0.0782,462.1092,None,0.000,0.000
24.524,1,-0.0596,0.0468,0.0757,454.6899,None,0.000,0.000
24.552,1,-0.0542,0.0486,0.0728,304.6316,None,0.000,0.000
24.580,1,-0.0465,0.0508,0.0688,141.5504,None,0.000,0.000
24.608,1,-0.0385,0.0514,0.0643,476.7282,None,0.000,0.000
24.636,1,-0.0274,0.0525,0.0592,1027.2160,None,0.000,0.000
24.664,1,-0.0173,0.0523,0.0551,1085.8960,None,0.000,0.000
24.691,1,-0.0083,0.0510,0.0517,261.2934,None,0.000,0.000
